store_id,survival_days,status,country,max_segment,creation_platform,products_created,admin_visits,source,seller_probability,tx,gmv_usd
-3838293080089821838,65,1,A,C,B,-0.1020666007881054,-1.026470875954385,B,-0.6577221110805008,-0.11077719784484988,-0.10646262373791036
-2436005877960321697,128,1,A,C,D,-0.08086042220229397,-0.9809712283418479,D,-0.6424504800367289,-0.11077719784484988,-0.10646262373791036
3686964359203954565,100,0,C,C,A,-0.1020666007881054,-0.5714743998290129,D,-0.6415778154056562,-0.11077719784484988,-0.10646262373791036
3056852906705941460,68,1,A,C,B,-0.09004976625614558,-0.4349754569914013,A,-0.6354691629881474,-0.11077719784484988,-0.10646262373791036
983248668153416028,330,1,A,C,A,0.06334159218122364,0.47501749525934295,B,-0.7231719584109518,-0.11077719784484988,-0.10646262373791036
-8360767017406925983,344,1,A,C,A,-0.08580853053898331,-0.5714743998290129,E,-0.7353892632459694,-0.11077719784484988,-0.10646262373791036
-8620785932244284031,341,0,A,D,B,-0.10277347340763243,-0.6624736950540874,F,-0.3933047278654783,-0.11077719784484988,-0.10646262373791036
-6383226338472775105,53,1,C,C,A,-0.05965424361648256,-0.5714743998290129,H,-0.4770805324484557,-0.09944917417543676,-0.10450169857200488
1214873528833644259,284,0,C,D,B,-0.053292390040739136,0.702515733322029,H,-0.6132162148957939,-0.08812115050602362,-0.09847462112155547
-448892529051275692,111,1,C,C,A,-0.111255944841957,-1.2539691140170712,A,-0.7401889187168692,-0.11077719784484988,-0.10646262373791036
-8207931275663002192,79,1,A,C,A,-0.08298104006087513,-0.3894758093788641,D,-0.727098949250779,-0.11077719784484988,-0.10646262373791036
-5113716095193878530,50,1,C,C,A,-0.10913532698337586,-1.0719705235669224,E,-0.7567695467072502,-0.11077719784484988,-0.10646262373791036
-802534079392508863,158,0,A,A,B,-0.09570474721236197,1.7035079807978482,B,1.99997802285135,0.3083596779234359,0.09495918140836446
-3870878938035696680,220,0,A,D,B,-0.10489409126621356,-0.2984765141537897,B,1.6037882803443526,-0.09944917417543676,-0.09211149802775534
135255759960659569,81,0,C,B,A,-0.1084284543638488,1.2030118570599384,B,-0.7432432449256234,-0.08812115050602362,-0.09548381489573393
1236968562400708141,168,1,A,B,A,-0.10277347340763243,-0.4349754569914013,B,-0.1973915181896614,-0.07679312683661049,-0.09747241440873887
-4906454822937843918,51,1,C,C,A,-0.11054907222242996,-1.1629698187919968,I,-0.6948103579010897,-0.11077719784484988,-0.10646262373791036
6398286497382223345,8,1,C,C,A,-0.10701470912479473,-0.8899719331167735,C,-0.6494317970853103,-0.11077719784484988,-0.10646262373791036
6164903418385426711,110,1,A,C,B,-0.09499787459283493,-1.0719705235669224,I,-0.7572058790227865,-0.11077719784484988,-0.10646262373791036
6502573283827531184,223,0,A,B,A,-0.11054907222242996,-1.2539691140170712,I,-0.4395559533123304,-0.11077719784484988,-0.10646262373791036
-4081269499550421399,397,0,A,B,B,-0.09004976625614558,-0.3894758093788641,H,1.2512317693909896,-0.11077719784484988,-0.10646262373791036
-7393461215610571315,50,1,C,C,D,-0.10277347340763243,-0.6169740474415502,D,-0.6354691629881474,-0.11077719784484988,-0.10646262373791036
4789342743676330200,193,0,A,A,A,0.013860508814330336,1.7035079807978482,D,1.7006540543934203,-0.05413707949778423,-0.03099072571949185
6307875752623553728,505,1,C,D,A,-0.10913532698337586,-0.8899719331167735,D,1.1674559648080125,-0.11077719784484988,-0.10646262373791036
-5791610930245615207,54,1,C,B,A,0.00537803738000577,0.20201960958411969,C,-0.6507407940319193,-0.09944917417543676,-0.08789906705139994
-6539000473807714377,38,1,A,C,A,-0.10560096388574064,-0.7534729902791618,E,-0.7017916749496712,-0.11077719784484988,-0.10646262373791036
4135915785805562423,254,0,C,B,A,-0.0992391103099972,0.20201960958411969,H,-0.41599400827336797,-0.08812115050602362,-0.08401279802300259
-4892207781131748382,255,1,C,B,B,-0.09358412935378084,-0.5714743998290129,I,-0.570891980288769,-0.09944917417543676,-0.10299146991600512
5420564202993392535,343,0,A,B,B,-0.04693053646499572,-0.798972637891699,I,-0.22051713091308733,-0.09944917417543676,-0.09894508502224653
-5455580915057004815,89,0,C,C,A,-0.08298104006087513,-0.6169740474415502,D,-0.7340802662993604,-0.11077719784484988,-0.10646262373791036
-5960470664837752183,97,0,A,C,A,-0.07661918648513169,-0.9809712283418479,H,-0.7524062235518867,-0.11077719784484988,-0.10646262373791036
5201622309301659371,353,1,A,B,A,-0.053292390040739136,-0.798972637891699,D,1.5562280579508916,-0.11077719784484988,-0.10646262373791036
-5449717846774681398,100,1,C,B,A,-0.04198242812830638,-0.1164779237036408,B,-0.7641871960713679,-0.09944917417543676,-0.1008012430169897
-3325585671168414900,102,1,C,C,A,-0.11054907222242996,-1.0719705235669224,B,-0.6642670958135459,-0.11077719784484988,-0.10646262373791036
6949072973048474132,272,0,A,D,A,-0.08015354958276692,0.06552066674650804,I,1.3528971989109568,-0.11077719784484988,-0.10646262373791036
-6146975640555406408,144,0,A,G,A,-0.111255944841957,-1.208469466404534,A,1.5614640457373274,-0.11077719784484988,-0.10646262373791036
468468709811456758,546,0,C,A,A,0.02092923500960081,-0.02547862847856638,B,1.0260842945742379,-0.07679312683661049,-0.07339375569311929
2176642176683112570,128,0,A,C,A,-0.0257243578791843,-0.6624736950540874,B,-0.6926286963234078,-0.11077719784484988,-0.10646262373791036
1058290963755876360,330,0,C,B,B,-0.111255944841957,-1.2539691140170712,K,-0.5006424774874182,-0.11077719784484988,-0.10646262373791036
-7582374965336881072,435,1,C,B,B,0.0704103183764941,-0.07097827609110359,D,1.266067068119225,-0.07679312683661049,-0.07908874097837501
-8260641138326755566,66,1,C,C,A,-0.10701470912479473,-0.798972637891699,H,-0.6132162148957939,-0.11077719784484988,-0.10646262373791036
-804577084998929000,550,1,A,D,A,-0.10348034602715947,0.3385185524217313,I,1.8093008009619689,-0.020153008489544842,0.06273240421102874
808591478779414603,334,0,C,C,A,0.1425113255682529,-0.3894758093788641,A,-0.7702958484888767,-0.11077719784484988,-0.10646262373791036
5707669733867344486,100,1,C,C,A,0.03153232430250651,0.15651996197158247,A,-0.6415778154056562,-0.11077719784484988,-0.10646262373791036
5424573627618055804,65,1,A,C,A,-0.096411619831889,-0.3439761617663269,I,-0.4936611604388366,-0.08812115050602362,-0.10118275365914672
